mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,584,0.00879,-0.016327,-0.010411
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,585,0.035314,0.003278,0.001154
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,586,-0.00199,-0.029868,-0.006708
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,587,0.003186,-0.006192,0.00225
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,588,0.009242,-0.014188,0.004157
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,589,0.026081,-0.000255,-0.004857
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,590,0.039022,0.014484,0.049827
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,591,0.037642,-0.034739,0.058235
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,592,0.206159,-0.010157,0.068237
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,593,0.02215,0.016037,0.036452
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,594,0.090824,0.012007,0.04789
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,595,0.000788,-0.001656,0.001291
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,596,0.003069,-0.00671,0.003647
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,597,0.017128,-0.006012,-0.010898
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,604,-0.18583,0.103415,0.127391
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,605,-0.022536,0.014901,0.143799
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,606,-0.261273,0.102079,0.195717
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,607,-0.073074,0.089856,0.053746
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,608,-0.031696,0.089558,0.021
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,609,3.6e-05,4.9e-05,0.000151
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,610,0.029116,0.010056,-0.045146
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,611,0.054332,0.031667,-0.07511
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,612,0.057869,0.020552,-0.062335
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,613,0.015817,0.00093,-0.017047
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,646,-0.005881,-0.053297,0.02096
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,647,-0.017167,-0.06318,0.032355
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,648,-0.018058,-0.057148,0.040283
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,649,-0.025778,-0.048229,0.047044
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,650,-0.038306,-0.036762,0.10292
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,651,0.013948,-0.021119,0.087108
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,652,0.040622,-0.013144,0.059298
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,653,0.034193,-0.009866,0.006893
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,654,0.022888,-0.009846,-0.001452
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,655,0.012854,-0.01124,-0.002428
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,656,0.00777,-0.011212,0.004213
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,657,0.008832,-0.02348,0.009873
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,658,0.007985,-0.037398,0.015008
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,664,0.011413,0.01205,0.057972
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,665,-0.104006,0.035168,0.282486
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,666,-0.258184,0.02486,0.431468
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,667,-0.232655,0.016499,0.353764
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,668,-0.062137,-0.014384,0.092581
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,670,-0.040051,0.032467,0.044556
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,671,-0.080128,0.06243,0.079265
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,672,-0.013551,0.01042,0.012121
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,673,0.002216,-0.000625,0.00136
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,674,0.000448,-0.000177,0.000627
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,675,1e-06,-0.0,2e-06
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,676,0.005062,0.012695,0.013907
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,677,0.058115,0.015551,0.022965
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,678,0.125224,0.014976,0.053889
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,679,-0.019412,0.065565,0.072108
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,680,-0.188802,0.148567,0.123202
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,681,-0.148368,0.107097,0.094983
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,682,-0.008209,-0.000759,-0.0026
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,683,-0.164656,-0.03311,-0.026228
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,684,-0.142169,-0.04257,-0.152716
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,685,-0.163801,0.100068,-0.016868
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,686,-0.124889,0.105433,0.073722
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,687,-0.002127,0.085855,0.000597
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,688,0.033619,0.01541,-0.040682
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,689,0.002109,0.000521,-0.00213
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,699,3e-05,-2.2e-05,5e-06
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,724,-0.272501,0.18318,0.222782
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,725,-0.321167,0.200031,0.271698
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,726,-0.053945,0.128953,0.079696
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,727,0.037858,0.062968,0.0656
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,728,0.117229,0.003269,0.06485
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,729,0.146965,-0.006419,0.095466
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,730,0.034291,-0.008461,0.056857
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,731,0.010466,-0.007571,0.034771
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,732,-0.182285,0.177159,0.196785
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,733,-0.20928,0.105735,0.265246
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,734,0.060586,0.069861,0.063847
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,735,0.099072,-0.00014,0.048248
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,736,0.097044,-0.02687,0.063136
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,737,0.061096,-0.023677,0.070399
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,738,0.01801,-0.020016,0.033138
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,739,0.009072,-0.015816,0.017866
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,740,-0.000322,0.000757,0.000622
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,748,3e-06,-2e-06,0.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,749,8.7e-05,-3.9e-05,1.6e-05
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,752,0.044608,-0.018385,0.005545
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,753,0.027303,-0.018397,0.005116
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,754,0.039095,-0.024364,0.007315
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,755,-0.007199,-0.101584,0.023453
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,756,-0.087094,-0.133054,-0.006402
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,757,-0.108546,-0.117006,-0.027521
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,758,-0.148616,-0.105708,-0.014904
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,759,-0.131169,-0.009559,0.054778
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,760,0.069224,-0.028968,0.032648
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,761,0.005027,0.095091,0.154933
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,762,0.031529,-0.020805,0.01583
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,763,0.00899,-0.046956,0.007658
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,764,-0.03146,-0.061918,-0.003209
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,765,-0.049395,-0.056505,0.003511
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,766,-0.029036,-0.02724,0.028837
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,767,0.059204,-0.035115,0.021252
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,768,0.043491,-0.01605,0.045125
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,769,0.019566,-0.002348,0.00363
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,770,0.03593,-0.012607,0.002231
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,771,0.014612,-0.026412,0.000724
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,772,0.009788,-0.030453,0.003456
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,773,0.018277,-0.025873,0.012285
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,774,0.043279,-0.028146,0.011113
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,775,0.034093,-0.022342,0.018184
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,779,0.012568,-0.008684,0.002134
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,780,0.024583,-0.010694,-0.000528
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,781,0.02399,-0.016043,0.004049
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,782,0.027086,-0.016858,0.005235
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,783,0.032226,-0.018413,0.001756
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,784,0.012013,-0.003527,-0.000443
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,785,0.002496,-0.000457,0.000133
